Index: 6710011 | Node id: 626135660 | Distance: 2707.624133 | Name:  
Index: 108382 | Node id: 30298842 | Distance: 2733.267500 | Name:  
Index: 9203694 | Node id: 899314386 | Distance: 2889.849707 | Name:  
Index: 9203695 | Node id: 899314388 | Distance: 2920.751919 | Name:  
Index: 8085647 | Node id: 771231969 | Distance: 3060.462492 | Name:  
Index: 35031 | Node id: 26057048 | Distance: 3094.133913 | Name:  
Index: 8573543 | Node id: 803435598 | Distance: 3109.763540 | Name:  
Index: 19789187 | Node id: 1193548822 | Distance: 3117.442751 | Name:  
Index: 316290 | Node id: 71710025 | Distance: 3125.287128 | Name:  
Index: 19789183 | Node id: 1193548807 | Distance: 3133.075935 | Name:  
Index: 35035 | Node id: 26057052 | Distance: 3139.795499 | Name:  
Index: 4482183 | Node id: 534633415 | Distance: 3145.124187 | Name:  
Index: 35032 | Node id: 26057049 | Distance: 3152.065080 | Name:  
Index: 8573542 | Node id: 803435595 | Distance: 3164.117409 | Name:  
Index: 35036 | Node id: 26057053 | Distance: 3175.786669 | Name:  
Index: 433431 | Node id: 168319807 | Distance: 3185.459739 | Name:  
Index: 19789166 | Node id: 1193548729 | Distance: 3204.251004 | Name:  
Index: 35033 | Node id: 26057050 | Distance: 3220.713919 | Name:  
Index: 8085580 | Node id: 771231898 | Distance: 3241.235313 | Name:  
Index: 7936330 | Node id: 760332218 | Distance: 3308.740586 | Name:  
Index: 441442 | Node id: 178518958 | Distance: 3324.385256 | Name:  
Index: 7936316 | Node id: 760332200 | Distance: 3504.128822 | Name:  
Index: 7936328 | Node id: 760332216 | Distance: 3518.885363 | Name:  
Index: 7936335 | Node id: 760332225 | Distance: 3676.337611 | Name:  
Index: 7936320 | Node id: 760332206 | Distance: 3694.588302 | Name:  
Index: 7936322 | Node id: 760332209 | Distance: 3779.453614 | Name:  
Index: 7936325 | Node id: 760332213 | Distance: 3797.602133 | Name:  
Index: 7936323 | Node id: 760332211 | Distance: 3891.717743 | Name:  
Index: 7936329 | Node id: 760332217 | Distance: 3940.919488 | Name:  
Index: 7936317 | Node id: 760332202 | Distance: 3968.671803 | Name:  
Index: 7936333 | Node id: 760332222 | Distance: 4015.728687 | Name:  
